texto,tipo,gravidade,origem
meu companheiro me segurou para que eu não pudesse falar ao telefone,fisica,baixa,violencia_2000
ele me diz que vai contar segredos meus para minha família se eu não obedecer,psicologica,media,violencia_2000
ele conta para os amigos situações que me deixam constrangida,moral,baixa,violencia_2000
ele me proíbe de usar certos tipos de roupa,psicologica,media,violencia_2000
meu marido não gosta quando saio com minhas amigas,psicologica,baixa,violencia_2000
ele me xinga na frente dos meus pais quando fica irritado,moral,media,violencia_2000
ele me torceu o braço para trás até eu gritar de dor,fisica,media,violencia_2000
meu companheiro criou site falso com meu nome para me difamar,moral,alta,violencia_2000
meu namorado me bateu no rosto e fugiu,fisica,media,violencia_2000
meu marido não me deixa usar redes sociais,psicologica,media,violencia_2000
ele me humilha dizendo que ninguém me suportaria,moral,media,violencia_2000
meu companheiro me xinga de vagabunda na frente dos filhos pequenos,moral,media,violencia_2000
ele diz que vou perder o casamento se não satisfazer suas necessidades,sexual,media,violencia_2000
meu marido fica assistindo conteúdo inadequado perto das crianças,sexual,baixa,violencia_2000
meu companheiro me cutucou no ombro durante toda a discussão,fisica,baixa,violencia_2000
meu companheiro me faz sentir anormal por ter ciclos diferentes de desejo,sexual,media,violencia_2000
meu companheiro postou na internet que sou ladra,moral,alta,violencia_2000
ele reclama muito quando saio sem ele,psicologica,baixa,violencia_2000
ele me trata como empregada na frente dos convidados,moral,media,violencia_2000
ele me chutou repetidamente enquanto eu estava no chão,fisica,alta,violencia_2000
ele não me deixa ter crediário em lojas,patrimonial,baixa,violencia_2000
meu companheiro me pressiona a ter relações como forma de reconciliação,sexual,media,violencia_2000
ele usou meu cartão de crédito e não pagou a fatura,patrimonial,media,violencia_2000
"ele me bateu, me obrigou a ter relações forçadas e me ameaça todo dia de morte",mista,alta,violencia_2000
meu companheiro tira meu anticoncepcional escondido da minha bolsa,sexual,media,violencia_2000
ele não gosta quando expresso minha insatisfação com algo,psicologica,baixa,violencia_2000
"meu marido me deu um soco, me humilha e não me deixa ter renda própria",mista,media,violencia_2000
meu marido me obrigou a fazer coisas que me causaram lesões físicas,sexual,alta,violencia_2000
ele faz comentários sobre sexo que me deixam desconfortável durante refeições,sexual,baixa,violencia_2000
meu companheiro disse que vai fazer mal a mim e à minha família,psicologica,alta,violencia_2000
ele me fez perder o emprego por aparecer no meu trabalho bêbado,patrimonial,alta,violencia_2000
meu marido me diminui dizendo que minha família é uma vergonha,moral,media,violencia_2000
meu companheiro me diz que eu mudei e fui ficando difícil de suportar,psicologica,media,violencia_2000
"meu companheiro me espancou, me deixou sem documentos e ameaça me abandonar na estrada",mista,alta,violencia_2000
ele destruiu minha máquina de bordado que eu usava para sustentar os filhos,patrimonial,alta,violencia_2000
fui espancada até perder os sentidos,fisica,alta,violencia_2000
"meu companheiro me puxou pelo ombro, faz comentários depreciativos e controla saídas",mista,baixa,violencia_2000
meu companheiro faz insinuações sobre minha fidelidade,sexual,baixa,violencia_2000
meu companheiro fica assistindo conteúdo adulto e me mostrando,sexual,baixa,violencia_2000
"ele me deu um cutucão no ombro, me xinga às vezes e quer saber onde estou sempre",mista,baixa,violencia_2000
"ele me empurrou de leve, reclama quando saio e faz piadinhas sobre minha inteligência",mista,baixa,violencia_2000
ele me compara com outras mulheres de forma que me deixa insegura,moral,baixa,violencia_2000
ele fala mal do meu trabalho para outras pessoas,moral,baixa,violencia_2000
"ele me deu socos no rosto, quebrou meu celular e ameaça divulgar fotos íntimas",mista,alta,violencia_2000
ele me culpa pela má qualidade do nosso relacionamento quando tenho limites,sexual,media,violencia_2000
meu companheiro me pressiona dizendo que é normal querer todo dia,sexual,media,violencia_2000
meu marido inventou histórias sobre meu passado para destruir minha reputação,moral,alta,violencia_2000
"ele me bateu, forçou relação sexual e ameaça me abandonar no meio da mata",mista,alta,violencia_2000
meu namorado não gosta quando compro alimentos orgânicos por serem mais caros,patrimonial,baixa,violencia_2000
"ele me jogou escada abaixo, estou com o braço quebrado",fisica,alta,violencia_2000
ele me chama de imprestável quando cometo um erro,moral,media,violencia_2000
ele destruiu todos os meus documentos e eu não consigo trabalhar,patrimonial,alta,violencia_2000
meu namorado reclama quando gasto com produtos importados,patrimonial,baixa,violencia_2000
meu marido reclama quando compro algo por impulso mesmo que barato,patrimonial,baixa,violencia_2000
"meu namorado me empurrou, me chama de idiota e não me deixa ter dinheiro próprio",mista,media,violencia_2000
ele quer ter acesso às minhas compras no aplicativo,patrimonial,baixa,violencia_2000
meu namorado reclama quando não atendo às expectativas dele,psicologica,baixa,violencia_2000
ele me bateu com força até eu me render,fisica,alta,violencia_2000
"meu companheiro me deu um soco no ombro, me xinga e me controla financeiramente",mista,media,violencia_2000
"meu companheiro me puxou pelo braço leve, me critica e verifica celular",mista,baixa,violencia_2000
meu marido pegou meu dinheiro de aposentadoria guardado,patrimonial,alta,violencia_2000
meu marido faz comentários comparando-me com outras mulheres,psicologica,baixa,violencia_2000
meu marido me ameaça tirar minha guarda dos filhos se eu sair,psicologica,alta,violencia_2000
meu marido me esmagou a mão na porta de propósito,fisica,alta,violencia_2000
meu namorado faz comentários sobre minha forma de lidar com pressão,moral,baixa,violencia_2000
ele faz pouco caso de mim durante dias se eu recusar,sexual,media,violencia_2000
meu companheiro me faz sentir obrigada a ter relações para mantê-lo calmo,sexual,media,violencia_2000
"ele cutucou levemente, faz comentários negativos e controla saídas minhas",mista,baixa,violencia_2000
meu namorado me empurrou levemente quando ficou com raiva,fisica,baixa,violencia_2000
"meu companheiro me bateu quando bebe, me xinga e não me deixa sair de casa",mista,media,violencia_2000
meu companheiro me monitora através das câmeras de casa,psicologica,media,violencia_2000
meu companheiro me forçou a ter relações logo após cirurgia,sexual,alta,violencia_2000
ele me faz sentir que enlouqueci quando sei que estou certa,psicologica,media,violencia_2000
"meu namorado me segurou, não me deixa gastar livremente e me critica sempre",mista,baixa,violencia_2000
ele me estuprou repetidas vezes durante nosso relacionamento,sexual,alta,violencia_2000
ele me acusou publicamente de abandonar os filhos sendo mentira,moral,alta,violencia_2000
ele quebrou minha louça durante a briga,patrimonial,media,violencia_2000
meu namorado me puxou pelos cabelos de forma leve mas agressiva,fisica,baixa,violencia_2000
"ele me puxou leve, me xinga às vezes e controla tudo que eu faço",mista,baixa,violencia_2000
meu namorado me diz que todos que me conhecem pensam que sou difícil,psicologica,media,violencia_2000
"meu marido me deu um empurrão leve, me xinga às vezes e controla o que eu faço",mista,baixa,violencia_2000
"meu marido me empurrou, destrói coisas durante as brigas e me xinga de inútil",mista,media,violencia_2000
meu marido destruiu documentos importantes dos filhos por raiva,patrimonial,alta,violencia_2000
"meu marido me espancou, destruiu tudo que eu tinha e me ameaça com morte toda vez que reclamo",mista,alta,violencia_2000
"ele me deu um soco, destrói objetos meus e me xinga diariamente",mista,media,violencia_2000
ele me denunciou falsamente ao meu empregador,moral,alta,violencia_2000
meu marido fica desconfortável quando converso com ex-colegas,psicologica,baixa,violencia_2000
meu namorado me deu um tapa leve que disse ser brincadeira,fisica,baixa,violencia_2000
meu namorado me vigia constantemente sem eu saber,psicologica,media,violencia_2000
meu namorado faz comentários sobre minha vida financeira para outros,moral,baixa,violencia_2000
ele disse que já planejou como vai me matar se eu o deixar,psicologica,alta,violencia_2000
meu companheiro me pressiona sobre ter filhos mesmo eu não querendo agora,sexual,baixa,violencia_2000
meu marido me diminui dizendo que não tenho valor como pessoa,moral,media,violencia_2000
meu companheiro ficou me pressionando com o corpo contra a parede,fisica,baixa,violencia_2000
"meu marido me xinga de burra, não me deixa trabalhar e me bateu uma vez",mista,media,violencia_2000
"ele me empurrou levemente, verifica meu celular e faz comentários que me diminuem",mista,baixa,violencia_2000
meu marido me acusou de violência contra ele sendo que o contrário é verdade,moral,alta,violencia_2000
ele não me dá dinheiro para transporte para o trabalho,patrimonial,media,violencia_2000
meu marido disse que vai envenenar minha comida se eu pedir divórcio,psicologica,alta,violencia_2000
ele postou fotos minhas com comentários ofensivos,moral,alta,violencia_2000
ele me ofende de forma que afeta minha autoestima profundamente,moral,media,violencia_2000
ele compartilhou informações íntimas minhas sem permissão para me humilhar,moral,alta,violencia_2000
ele me puxou para perto dele com força durante a briga,fisica,baixa,violencia_2000
meu marido fez dívidas no meu nome sem minha autorização,patrimonial,alta,violencia_2000
meu companheiro destruiu minha horta que era nossa fonte de renda,patrimonial,alta,violencia_2000
ele criou narrativa falsa sobre mim para justificar os abusos que comete,moral,alta,violencia_2000
meu marido me enviou vídeos de outras mulheres que ele agrediu como aviso,psicologica,alta,violencia_2000
meu marido me acusou de mentirosa patológica para que ninguém me acredite,moral,alta,violencia_2000
meu marido faz comentários depreciativos sobre mim para visitas,moral,media,violencia_2000
ele me manda fotos de terceiros pedindo minha opinião de forma inapropriada,sexual,baixa,violencia_2000
ele me faz sentir que sou obrigada a ter relações quando ele quer,sexual,media,violencia_2000
ele nega que me agrediu e diz que eu sou histérica,psicologica,media,violencia_2000
ele me agrediu com uma marreta enquanto eu dormia,fisica,alta,violencia_2000
meu marido me bloqueou a saída do quarto com o corpo,fisica,baixa,violencia_2000
"ele me agrediu fisicamente, toma meu salário e me humilha na frente dos filhos",mista,media,violencia_2000
ele divulgou segredos íntimos meus para destruir minha reputação,moral,alta,violencia_2000
meu companheiro não me deixa trabalhar mas não me dá dinheiro suficiente,patrimonial,media,violencia_2000
meu companheiro me ofende com comentários sobre meu peso e aparência,moral,media,violencia_2000
ele me proíbe de estudar dizendo que mulher não precisa de estudo,psicologica,media,violencia_2000
ele me deu um empurrão quando eu tentei pegar minhas coisas,fisica,baixa,violencia_2000
meu marido faz piadas de cunho sexual que me constrangem,sexual,baixa,violencia_2000
meu marido me fez ficar no negativo em todas as contas ao sair,patrimonial,alta,violencia_2000
ele me beliscou e torceu meu braço com força,fisica,media,violencia_2000
ele me agarrou pelo braço quando tentei sair do quarto,fisica,baixa,violencia_2000
ele me faz sentir que sou inadequada por ter ritmos diferentes dos dele,sexual,baixa,violencia_2000
"meu companheiro me bateu até ficar com marcas, me humilha e me mantém sem comida",mista,alta,violencia_2000
"ele me bateu na rua, me humilha constantemente e me ameaça de morte se eu terminar",mista,alta,violencia_2000
ele quebrou o ventilador na briga de ontem,patrimonial,media,violencia_2000
meu namorado me pressiona a mandar fotos mesmo eu dizendo não,sexual,baixa,violencia_2000
meu companheiro me segurou pelo ombro com força,fisica,baixa,violencia_2000
ele fica na minha porta o dia todo me impedindo de sair,psicologica,alta,violencia_2000
meu marido não gosta quando tenho iniciativa própria,psicologica,baixa,violencia_2000
ele abusou de mim quando eu estava bêbada e não conseguia reagir,sexual,alta,violencia_2000
meu companheiro me culpa pelo comportamento dele,psicologica,media,violencia_2000
ele me critica na frente das crianças,moral,media,violencia_2000
ele disse que vai jogar ácido no meu rosto se eu terminar,psicologica,alta,violencia_2000
meu companheiro me tira dinheiro dizendo que vai comprar mas nunca compra,patrimonial,media,violencia_2000
meu marido me diminui na frente das visitas para parecer superior,moral,media,violencia_2000
ele me espancou com chutes e socos por mais de uma hora,fisica,alta,violencia_2000
ele diz que eu devo a ele após ele ter feito algo por mim,sexual,media,violencia_2000
meu marido me chama de ingrata quando não quero ter relações,sexual,media,violencia_2000
meu marido faz piadas inapropriadas sobre relações conjugais na frente dos outros,sexual,baixa,violencia_2000
"meu companheiro me bateu uma vez, me xinga diariamente e me controla economicamente",mista,media,violencia_2000
ele me culpa quando fica insatisfeito sexualmente,sexual,media,violencia_2000
ele não me deixa guardar dinheiro para emergências,patrimonial,media,violencia_2000
ele me deu um soco no peito que me deixou sem ar por um momento,fisica,media,violencia_2000
meu marido inventou que tenho dívidas ilegais para me desmoralizar,moral,alta,violencia_2000
ele me faz sentir que tenho que justificar meus limites sexuais,sexual,baixa,violencia_2000
ele me puxou pelo braço para entrar no carro à força,fisica,media,violencia_2000
ele me critica pela forma como me visto para eventos,moral,baixa,violencia_2000
meu marido faz piadas ofensivas sobre mim na frente de todos,moral,media,violencia_2000
"ele me agride fisicamente toda semana, destrói meus objetos e ameaça minha família",mista,alta,violencia_2000
ele me chama de rejeitadora quando digo não,sexual,media,violencia_2000
ele ficou encostado em mim de forma ameaçadora durante a briga,fisica,baixa,violencia_2000
ele diz que eu só existo por causa dele,psicologica,media,violencia_2000
ele fica me ligando várias vezes quando estou fora de casa,psicologica,baixa,violencia_2000
ele quer ver meu histórico de compras no cartão,patrimonial,baixa,violencia_2000
ele me faz sentir que sou um fardo para a família,psicologica,media,violencia_2000
meu marido me chama de fraca quando choro durante as brigas,moral,media,violencia_2000
ele disse que se eu sair vai fazer algo com os meus filhos,psicologica,alta,violencia_2000
meu companheiro faz piadas sobre meu sotaque que me envergonham,moral,baixa,violencia_2000
meu marido me agrediu e eu fui parar no pronto-socorro,fisica,alta,violencia_2000
meu marido me faz sentir que meu corpo existe para agradá-lo,sexual,baixa,violencia_2000
ele reclama quando não divido tudo com ele,psicologica,baixa,violencia_2000
meu companheiro faz comentários sobre meu passado que me deixam mal,moral,baixa,violencia_2000
meu marido fica de mau humor e fica dias sem falar comigo,psicologica,baixa,violencia_2000
"ele me bateu quando ficou irritado, me isola e me toma o dinheiro",mista,media,violencia_2000
ele não me deixa gastar dinheiro em cursos que quero fazer,patrimonial,baixa,violencia_2000
meu marido tentou me matar com um travesseiro enquanto eu dormia,fisica,alta,violencia_2000
ele faz comentários que diminuem minhas conquistas,psicologica,baixa,violencia_2000
meu marido me deu um chute na perna,fisica,media,violencia_2000
meu namorado me critica publicamente por tudo que faço,moral,media,violencia_2000
meu marido me diz que vou me arrepender se sair,psicologica,media,violencia_2000
meu companheiro não me deixa usar o computador para trabalhar,patrimonial,media,violencia_2000
ele me culpa quando fica com raiva dizendo que eu o provoquei,psicologica,media,violencia_2000
ele me apertou o braço com força para me fazer parar de falar,fisica,media,violencia_2000
ele quer ver todas as compras que faço online,patrimonial,baixa,violencia_2000
ele me forçou a ter relações como condição para pagar as contas,sexual,alta,violencia_2000
ele me ameaça de incendiar minha casa se eu terminar,psicologica,alta,violencia_2000
ele reclama quando gasto com viagem de lazer,patrimonial,baixa,violencia_2000
meu namorado faz piadas sobre minha personalidade que me ferem,moral,baixa,violencia_2000
meu companheiro quer decidir com quem posso dividir despesas,patrimonial,baixa,violencia_2000
"meu marido me bateu, me humilhou na frente dos sogros e me deixou sem dinheiro para comer",mista,alta,violencia_2000
"ele me empurrou uma vez leve, faz comentários ruins e não me deixa ter renda",mista,baixa,violencia_2000
meu companheiro me pressiona a ter relações como condição para um bom relacionamento,sexual,media,violencia_2000
ele me filmou durante momentos íntimos e ameaça divulgar se eu terminar,sexual,alta,violencia_2000
meu companheiro me critica de forma destrutiva na frente dos filhos,moral,media,violencia_2000
"ele me bateu uma vez que me assustei, me humilha e controla onde vou",mista,media,violencia_2000
"meu marido me deu um empurrão leve, me xinga às vezes e controla onde estou",mista,baixa,violencia_2000
ele reclama do jeito que cuido da casa,psicologica,baixa,violencia_2000
ele não me deixa usar o cartão do mercado livremente,patrimonial,baixa,violencia_2000
ele conta para a vizinhança que sou uma pessoa problemática,moral,media,violencia_2000
meu namorado segurou meu pulso quando tentei sair da sala,fisica,baixa,violencia_2000
meu companheiro me forçou a enviar fotos íntimas para outras pessoas,sexual,alta,violencia_2000
meu companheiro me faz sentir anormal por não querer ter relações sempre que ele quer,sexual,media,violencia_2000
meu namorado implica com meu jeito de se vestir,psicologica,baixa,violencia_2000
ele me enviou vídeos me ameaçando de morte,psicologica,alta,violencia_2000
meu namorado conta segredos meus para amigos comuns,moral,media,violencia_2000
"ele me espancou, destruiu minha máquina de costura que era meu sustento e me ameaça",mista,alta,violencia_2000
"meu companheiro me bateu, me manteve sem comida por dias e me ameaça jogar minha filha no rio",mista,alta,violencia_2000
ele quer saber antes de qualquer compra acima de um valor,patrimonial,baixa,violencia_2000
meu marido reclama quando gasto com manutenção do carro que é meu,patrimonial,baixa,violencia_2000
"ele me puxou pelo braço uma vez, reclama do que gasto e me diminui às vezes",mista,baixa,violencia_2000
ele me puxou pelo braço quando tentei andar para longe,fisica,baixa,violencia_2000
ele fica assistindo conteúdo adulto na minha frente sem me pedir,sexual,baixa,violencia_2000
"meu marido me espancou na gravidez, me xinga todo dia e ameaça jogar meu bebê fora",mista,alta,violencia_2000
"meu marido me espancou, me humilha publicamente e me deixou sem dinheiro para os filhos",mista,alta,violencia_2000
meu namorado reclama quando eu gasto dinheiro com coisas pessoais,patrimonial,baixa,violencia_2000
ele conta para a família sobre minhas dificuldades sem minha permissão,moral,baixa,violencia_2000
ele não me deixa ter nada de valor em meu nome,patrimonial,media,violencia_2000
"ele me agride, me isola dos amigos e verifica meu celular todo dia",mista,media,violencia_2000
meu marido reclama quando compro algo de marca,patrimonial,baixa,violencia_2000
meu namorado me bloqueou a passagem com o corpo com força,fisica,baixa,violencia_2000
ele não me dá dinheiro para eu tomar conta dos filhos adequadamente,patrimonial,media,violencia_2000
ele me segurou pelo braço quando tentei sair do carro,fisica,baixa,violencia_2000
ele disse para minha família que sou alcoólatra,moral,alta,violencia_2000
"ele me agrediu fisicamente, me chama de louca e não me deixa ter dinheiro próprio",mista,media,violencia_2000
ele me deu um soco na coxa que ficou roxo,fisica,media,violencia_2000
"ele me agrediu fisicamente, me humilhou publicamente e me ameaça me deixar sem nada",mista,alta,violencia_2000
"ele me puxou leve, me xinga de vez em quando e controla meu celular",mista,baixa,violencia_2000
ele pegou o dinheiro que eu tinha guardado para a cirurgia,patrimonial,alta,violencia_2000
meu namorado me deu um cutucão no braço várias vezes durante a discussão,fisica,baixa,violencia_2000
meu marido me puxou pela mão para que eu não saísse,fisica,baixa,violencia_2000
"meu companheiro me estuprou, me bateu e disse que vai me matar se eu contar",mista,alta,violencia_2000
meu companheiro me empurrou e eu bati no espelho,fisica,media,violencia_2000
"meu companheiro me bateu até sangrar, me xinga de louca e colocou câmera no quarto",mista,alta,violencia_2000
ele quebrou minha coleção de objetos com valor sentimental,patrimonial,media,violencia_2000
meu marido me controla com quem posso ter contato,psicologica,media,violencia_2000
ele fala sobre meus defeitos para outras pessoas sem minha permissão,moral,baixa,violencia_2000
ele conta para amigos sobre meus medos de forma que me expõe,moral,baixa,violencia_2000
meu marido me jogou pela janela do primeiro andar,fisica,alta,violencia_2000
meu companheiro me deu um chute que me deixou caída no chão,fisica,media,violencia_2000
ele faz piadas sobre como cuido da casa que me envergonham,moral,baixa,violencia_2000
ele diz que se eu contar para alguém vai ser pior para mim,psicologica,media,violencia_2000
ele me pressiona a falar sobre assuntos sexuais que me constrangem,sexual,baixa,violencia_2000
meu namorado fica irritado quando converso longamente ao telefone,psicologica,baixa,violencia_2000
ele me toca de forma inadequada quando estamos com outras pessoas,sexual,baixa,violencia_2000
ele destruiu todos os meus pertences ao me expulsar de casa,patrimonial,alta,violencia_2000
meu marido me agrediu enquanto eu estava amamentando,fisica,alta,violencia_2000
meu companheiro não me dá dinheiro para cuidar da minha saúde,patrimonial,media,violencia_2000
ele quebrou meu espelho e alguns eletrodomésticos na briga,patrimonial,media,violencia_2000
ele me chama de gorda quando fico de shorts em casa,moral,media,violencia_2000
meu marido me obrigou a ter relações como condição para me sustentar,sexual,alta,violencia_2000
meu marido me ameaça matar meu irmão se eu contar para ele,psicologica,alta,violencia_2000
"meu companheiro me agrediu com um tapa, me proíbe de trabalhar e me humilha",mista,media,violencia_2000
meu companheiro vendeu meu carro para pagar sua dívida de jogo,patrimonial,alta,violencia_2000
ele me faz sentir que estou errada por ter meus próprios limites sexuais,sexual,baixa,violencia_2000
meu marido tentou me enforcar com o fio do carregador,fisica,alta,violencia_2000
ele tirou o preservativo sem meu consentimento durante a relação,sexual,alta,violencia_2000
meu companheiro me abusou sexualmente enquanto eu estava grávida e com dor,sexual,alta,violencia_2000
ele quebrou meu fone de ouvido que eu usava para trabalhar,patrimonial,media,violencia_2000
ele me deu um toque forte no ombro para chamar atenção,fisica,baixa,violencia_2000
ele me compara com pessoas que ele admira de forma negativa para mim,moral,baixa,violencia_2000
"meu marido me empurra, destrói minhas coisas e me xinga diariamente",mista,media,violencia_2000
ele gravou nossas relações sem eu saber e ameaça usar contra mim,sexual,alta,violencia_2000
meu namorado não gosta quando gasto dinheiro em shows ou eventos,patrimonial,baixa,violencia_2000
ele pegou meu cartão de crédito e gastou tudo sem me contar,patrimonial,alta,violencia_2000
ele quebrou todos os eletrodomésticos durante a última briga,patrimonial,media,violencia_2000
ele usa meu carro sem pedir e não coloca gasolina,patrimonial,media,violencia_2000
ele me fez perder minha renda ao me impedir de trabalhar por meses,patrimonial,alta,violencia_2000
ele me jogou no sofá com tanta força que eu me machuquei,fisica,media,violencia_2000
meu marido não me deixa receber visitas em casa,patrimonial,media,violencia_2000
ele me estuprou na noite do casamento mesmo eu pedindo para parar,sexual,alta,violencia_2000
meu companheiro me xinga de vagabunda quando discutimos,moral,media,violencia_2000
"ele me cutucou no ombro, faz piadinhas sobre peso e controla saídas minhas",mista,baixa,violencia_2000
"ele me puxou pelo braço leve, controla meu celular e me xinga quando fica irritado",mista,baixa,violencia_2000
ele me fez assinar documentos transferindo bens sem eu entender,patrimonial,alta,violencia_2000
ele me forçou a ter relações logo após meu aborto espontâneo,sexual,alta,violencia_2000
"ele me agrediu fisicamente, me chama de inútil e me controla financeiramente",mista,media,violencia_2000
meu marido me empurrou ao passar na porta ao mesmo tempo,fisica,baixa,violencia_2000
meu companheiro me ridiculariza na frente de visitas,moral,media,violencia_2000
"ele me bateu, publicou fotos minhas e ameaçou sequestrar minha filha",mista,alta,violencia_2000
meu namorado reclama quando uso roupas que ele considera inapropriadas,psicologica,baixa,violencia_2000
meu namorado reclama quando gasto com materiais para meu hobby,patrimonial,baixa,violencia_2000
ele fala sobre minhas limitações para outras pessoas,moral,baixa,violencia_2000
ele me isola da família dizendo que não presto para nada,psicologica,media,violencia_2000
"ele me puxou leve, faz comentários negativos e controla quanto posso gastar",mista,baixa,violencia_2000
meu marido me pressiona a ter relações como prova de que não estou traindo,sexual,media,violencia_2000
meu marido faz comentários que me deixam com dúvidas sobre minha aparência,psicologica,baixa,violencia_2000
"meu marido me empurra às vezes, me xinga todo dia e não me deixa sair",mista,media,violencia_2000
meu companheiro faz comentários depreciativos sobre minha culinária para visitas,moral,baixa,violencia_2000
ele me faz sentir que sou propriedade dele,sexual,media,violencia_2000
ele vendeu minha moto que era minha única forma de ir ao trabalho,patrimonial,alta,violencia_2000
ele me diz que meus amigos estão me manipulando contra ele,psicologica,media,violencia_2000
meu marido me menospreza dizendo que não tenho valor,moral,media,violencia_2000
ele me difamou no trabalho dizendo que roubei dinheiro,moral,alta,violencia_2000
meu companheiro não me deixa saber quanto ele ganha,patrimonial,media,violencia_2000
meu companheiro revisa minha bolsa toda vez que chego,psicologica,media,violencia_2000
ele me puxou pela roupa durante a discussão,fisica,baixa,violencia_2000
meu marido fica chateado quando não concorda com como gasto meu tempo livre,psicologica,baixa,violencia_2000
meu companheiro destruiu toda a minha produção artesanal,patrimonial,alta,violencia_2000
meu marido me caluniou profissionalmente e perdi contratos por isso,moral,alta,violencia_2000
ele me torceu o pulso para pegar meu celular,fisica,media,violencia_2000
meu marido me persegue em todos os lugares e me ameaça,psicologica,alta,violencia_2000
ele me xinga com palavrões quando discutimos,moral,media,violencia_2000
"meu companheiro me espancou, me tirou todos os documentos e ameaça levar os filhos",mista,alta,violencia_2000
"meu marido às vezes me empurra, controla meu celular e faz comentários ruins",mista,baixa,violencia_2000
ele me deu uma bordoada que me fez perder os sentidos,fisica,alta,violencia_2000
"meu marido me deu empurrão leve, me xinga quando fica irritado e controla onde estou",mista,baixa,violencia_2000
meu companheiro me ameaça usar meus filhos como reféns,psicologica,alta,violencia_2000
ele jogou um objeto no chão com força para me intimidar,fisica,baixa,violencia_2000
"meu marido me agrediu fisicamente, me tirou o emprego com mentiras e me ameaça todo dia",mista,alta,violencia_2000
ele me faz sentir culpada por não querer ter relações quando está estressado,sexual,media,violencia_2000
ele vendeu meu terreno que era herança dos meus avós,patrimonial,alta,violencia_2000
ele me obrigou a fazer algo sexual em troca de não contar algo meu,sexual,alta,violencia_2000
meu companheiro exige que eu preste contas de todos os minutos do meu dia,psicologica,media,violencia_2000
meu companheiro me bateu com um tijolo na cabeça,fisica,alta,violencia_2000
"ele me deu um tapa, me mantém isolada e me humilha constantemente",mista,media,violencia_2000
ele usa meu dinheiro sem me pedir e depois diz que eu gerei a dívida,patrimonial,media,violencia_2000
meu marido me acusou publicamente de coisas que nunca fiz,moral,alta,violencia_2000
ele vendeu o gado que era meu sem me pedir,patrimonial,alta,violencia_2000
meu companheiro me violentou sexualmente usando força física,sexual,alta,violencia_2000
ele me ameaça todos os dias dizendo que estou marcada para morrer,psicologica,alta,violencia_2000
"meu marido me agrediu, me trancou por dias sem comida e ameaçou matar minha mãe",mista,alta,violencia_2000
meu namorado reclama quando gasto com atividades culturais,patrimonial,baixa,violencia_2000
ele disse que vai me encontrar onde quer que eu vá e me machucar,psicologica,alta,violencia_2000
meu companheiro me deu um soco no braço durante a briga,fisica,media,violencia_2000
meu marido me abusou sexualmente múltiplas vezes na mesma noite,sexual,alta,violencia_2000
meu marido me segurou para que eu não saísse durante a discussão,fisica,baixa,violencia_2000
