texto,tipo,gravidade
"meu marido me deu um soco, me humilha e não me deixa ter renda própria",mista,media
meu marido me obrigou a fazer coisas que me causaram lesões físicas,sexual,alta
ele faz comentários sobre sexo que me deixam desconfortável durante refeições,sexual,baixa
meu companheiro disse que vai fazer mal a mim e à minha família,psicologica,alta
ele me fez perder o emprego por aparecer no meu trabalho bêbado,patrimonial,alta
meu marido me diminui dizendo que minha família é uma vergonha,moral,media
meu companheiro me diz que eu mudei e fui ficando difícil de suportar,psicologica,media
"meu companheiro me espancou, me deixou sem documentos e ameaça me abandonar na estrada",mista,alta
ele destruiu minha máquina de bordado que eu usava para sustentar os filhos,patrimonial,alta
fui espancada até perder os sentidos,fisica,alta
"meu companheiro me puxou pelo ombro, faz comentários depreciativos e controla saídas",mista,baixa
meu companheiro faz insinuações sobre minha fidelidade,sexual,baixa
meu companheiro fica assistindo conteúdo adulto e me mostrando,sexual,baixa
"ele me deu um cutucão no ombro, me xinga às vezes e quer saber onde estou sempre",mista,baixa
"ele me empurrou de leve, reclama quando saio e faz piadinhas sobre minha inteligência",mista,baixa
ele me compara com outras mulheres de forma que me deixa insegura,moral,baixa
ele fala mal do meu trabalho para outras pessoas,moral,baixa
"ele me deu socos no rosto, quebrou meu celular e ameaça divulgar fotos íntimas",mista,alta
ele me culpa pela má qualidade do nosso relacionamento quando tenho limites,sexual,media
meu companheiro me pressiona dizendo que é normal querer todo dia,sexual,media
meu marido inventou histórias sobre meu passado para destruir minha reputação,moral,alta
"ele me bateu, forçou relação sexual e ameaça me abandonar no meio da mata",mista,alta
meu namorado não gosta quando compro alimentos orgânicos por serem mais caros,patrimonial,baixa
"ele me jogou escada abaixo, estou com o braço quebrado",fisica,alta
ele me chama de imprestável quando cometo um erro,moral,media
ele destruiu todos os meus documentos e eu não consigo trabalhar,patrimonial,alta
meu namorado reclama quando gasto com produtos importados,patrimonial,baixa
meu marido reclama quando compro algo por impulso mesmo que barato,patrimonial,baixa
"meu namorado me empurrou, me chama de idiota e não me deixa ter dinheiro próprio",mista,media
ele quer ter acesso às minhas compras no aplicativo,patrimonial,baixa
meu namorado reclama quando não atendo às expectativas dele,psicologica,baixa
ele me bateu com força até eu me render,fisica,alta
"meu companheiro me deu um soco no ombro, me xinga e me controla financeiramente",mista,media
"meu companheiro me puxou pelo braço leve, me critica e verifica celular",mista,baixa
meu marido pegou meu dinheiro de aposentadoria guardado,patrimonial,alta
meu marido faz comentários comparando-me com outras mulheres,psicologica,baixa
meu marido me ameaça tirar minha guarda dos filhos se eu sair,psicologica,alta
meu marido me esmagou a mão na porta de propósito,fisica,alta
meu namorado faz comentários sobre minha forma de lidar com pressão,moral,baixa
ele faz pouco caso de mim durante dias se eu recusar,sexual,media
meu companheiro me faz sentir obrigada a ter relações para mantê-lo calmo,sexual,media
"ele cutucou levemente, faz comentários negativos e controla saídas minhas",mista,baixa
meu namorado me empurrou levemente quando ficou com raiva,fisica,baixa
"meu companheiro me bateu quando bebe, me xinga e não me deixa sair de casa",mista,media
meu companheiro me monitora através das câmeras de casa,psicologica,media
meu companheiro me forçou a ter relações logo após cirurgia,sexual,alta
ele me faz sentir que enlouqueci quando sei que estou certa,psicologica,media
"meu namorado me segurou, não me deixa gastar livremente e me critica sempre",mista,baixa
ele me estuprou repetidas vezes durante nosso relacionamento,sexual,alta
ele me acusou publicamente de abandonar os filhos sendo mentira,moral,alta
ele quebrou minha louça durante a briga,patrimonial,media
meu namorado me puxou pelos cabelos de forma leve mas agressiva,fisica,baixa
"ele me puxou leve, me xinga às vezes e controla tudo que eu faço",mista,baixa
meu namorado me diz que todos que me conhecem pensam que sou difícil,psicologica,media
"meu marido me deu um empurrão leve, me xinga às vezes e controla o que eu faço",mista,baixa
"meu marido me empurrou, destrói coisas durante as brigas e me xinga de inútil",mista,media
meu marido destruiu documentos importantes dos filhos por raiva,patrimonial,alta
"meu marido me espancou, destruiu tudo que eu tinha e me ameaça com morte toda vez que reclamo",mista,alta
"ele me deu um soco, destrói objetos meus e me xinga diariamente",mista,media
ele me denunciou falsamente ao meu empregador,moral,alta
meu marido fica desconfortável quando converso com ex-colegas,psicologica,baixa
meu namorado me deu um tapa leve que disse ser brincadeira,fisica,baixa
meu namorado me vigia constantemente sem eu saber,psicologica,media
meu namorado faz comentários sobre minha vida financeira para outros,moral,baixa
ele disse que já planejou como vai me matar se eu o deixar,psicologica,alta
meu companheiro me pressiona sobre ter filhos mesmo eu não querendo agora,sexual,baixa
meu marido me diminui dizendo que não tenho valor como pessoa,moral,media
meu companheiro ficou me pressionando com o corpo contra a parede,fisica,baixa
"meu marido me xinga de burra, não me deixa trabalhar e me bateu uma vez",mista,media
"ele me empurrou levemente, verifica meu celular e faz comentários que me diminuem",mista,baixa
meu marido me acusou de violência contra ele sendo que o contrário é verdade,moral,alta
ele não me dá dinheiro para transporte para o trabalho,patrimonial,media
meu marido disse que vai envenenar minha comida se eu pedir divórcio,psicologica,alta
ele postou fotos minhas com comentários ofensivos,moral,alta
ele me ofende de forma que afeta minha autoestima profundamente,moral,media
ele compartilhou informações íntimas minhas sem permissão para me humilhar,moral,alta
ele me puxou para perto dele com força durante a briga,fisica,baixa
meu marido fez dívidas no meu nome sem minha autorização,patrimonial,alta
meu companheiro destruiu minha horta que era nossa fonte de renda,patrimonial,alta
ele criou narrativa falsa sobre mim para justificar os abusos que comete,moral,alta
meu marido me enviou vídeos de outras mulheres que ele agrediu como aviso,psicologica,alta
meu marido me acusou de mentirosa patológica para que ninguém me acredite,moral,alta
meu marido faz comentários depreciativos sobre mim para visitas,moral,media
ele me manda fotos de terceiros pedindo minha opinião de forma inapropriada,sexual,baixa
ele me faz sentir que sou obrigada a ter relações quando ele quer,sexual,media
ele nega que me agrediu e diz que eu sou histérica,psicologica,media
ele me agrediu com uma marreta enquanto eu dormia,fisica,alta
meu marido me bloqueou a saída do quarto com o corpo,fisica,baixa
"ele me agrediu fisicamente, toma meu salário e me humilha na frente dos filhos",mista,media
ele divulgou segredos íntimos meus para destruir minha reputação,moral,alta
meu companheiro não me deixa trabalhar mas não me dá dinheiro suficiente,patrimonial,media
meu companheiro me ofende com comentários sobre meu peso e aparência,moral,media
ele me proíbe de estudar dizendo que mulher não precisa de estudo,psicologica,media
ele me deu um empurrão quando eu tentei pegar minhas coisas,fisica,baixa
meu marido faz piadas de cunho sexual que me constrangem,sexual,baixa
meu marido me fez ficar no negativo em todas as contas ao sair,patrimonial,alta
ele me beliscou e torceu meu braço com força,fisica,media
ele me agarrou pelo braço quando tentei sair do quarto,fisica,baixa
ele me faz sentir que sou inadequada por ter ritmos diferentes dos dele,sexual,baixa
"meu companheiro me bateu até ficar com marcas, me humilha e me mantém sem comida",mista,alta
"ele me bateu na rua, me humilha constantemente e me ameaça de morte se eu terminar",mista,alta
ele quebrou o ventilador na briga de ontem,patrimonial,media
meu namorado me pressiona a mandar fotos mesmo eu dizendo não,sexual,baixa
meu companheiro me segurou pelo ombro com força,fisica,baixa
ele fica na minha porta o dia todo me impedindo de sair,psicologica,alta
meu marido não gosta quando tenho iniciativa própria,psicologica,baixa
ele abusou de mim quando eu estava bêbada e não conseguia reagir,sexual,alta
meu companheiro me culpa pelo comportamento dele,psicologica,media
ele me critica na frente das crianças,moral,media
ele disse que vai jogar ácido no meu rosto se eu terminar,psicologica,alta
meu companheiro me tira dinheiro dizendo que vai comprar mas nunca compra,patrimonial,media
meu marido me diminui na frente das visitas para parecer superior,moral,media
ele me espancou com chutes e socos por mais de uma hora,fisica,alta
ele diz que eu devo a ele após ele ter feito algo por mim,sexual,media
meu marido me chama de ingrata quando não quero ter relações,sexual,media
meu marido faz piadas inapropriadas sobre relações conjugais na frente dos outros,sexual,baixa
"meu companheiro me bateu uma vez, me xinga diariamente e me controla economicamente",mista,media
ele me culpa quando fica insatisfeito sexualmente,sexual,media
ele não me deixa guardar dinheiro para emergências,patrimonial,media
ele me deu um soco no peito que me deixou sem ar por um momento,fisica,media
meu marido inventou que tenho dívidas ilegais para me desmoralizar,moral,alta
ele me faz sentir que tenho que justificar meus limites sexuais,sexual,baixa
ele me puxou pelo braço para entrar no carro à força,fisica,media
ele me critica pela forma como me visto para eventos,moral,baixa
meu marido faz piadas ofensivas sobre mim na frente de todos,moral,media
"ele me agride fisicamente toda semana, destrói meus objetos e ameaça minha família",mista,alta
ele me chama de rejeitadora quando digo não,sexual,media
ele ficou encostado em mim de forma ameaçadora durante a briga,fisica,baixa
ele diz que eu só existo por causa dele,psicologica,media
ele fica me ligando várias vezes quando estou fora de casa,psicologica,baixa
ele quer ver meu histórico de compras no cartão,patrimonial,baixa
ele me faz sentir que sou um fardo para a família,psicologica,media
meu marido me chama de fraca quando choro durante as brigas,moral,media
ele disse que se eu sair vai fazer algo com os meus filhos,psicologica,alta
meu companheiro faz piadas sobre meu sotaque que me envergonham,moral,baixa
meu marido me agrediu e eu fui parar no pronto-socorro,fisica,alta
meu marido me faz sentir que meu corpo existe para agradá-lo,sexual,baixa
ele reclama quando não divido tudo com ele,psicologica,baixa
meu companheiro faz comentários sobre meu passado que me deixam mal,moral,baixa
meu marido fica de mau humor e fica dias sem falar comigo,psicologica,baixa
"ele me bateu quando ficou irritado, me isola e me toma o dinheiro",mista,media
ele não me deixa gastar dinheiro em cursos que quero fazer,patrimonial,baixa
meu marido tentou me matar com um travesseiro enquanto eu dormia,fisica,alta
ele faz comentários que diminuem minhas conquistas,psicologica,baixa
meu marido me deu um chute na perna,fisica,media
meu namorado me critica publicamente por tudo que faço,moral,media
meu marido me diz que vou me arrepender se sair,psicologica,media
meu companheiro não me deixa usar o computador para trabalhar,patrimonial,media
ele me culpa quando fica com raiva dizendo que eu o provoquei,psicologica,media
ele me apertou o braço com força para me fazer parar de falar,fisica,media
ele quer ver todas as compras que faço online,patrimonial,baixa
ele me forçou a ter relações como condição para pagar as contas,sexual,alta
ele me ameaça de incendiar minha casa se eu terminar,psicologica,alta
ele reclama quando gasto com viagem de lazer,patrimonial,baixa
meu namorado faz piadas sobre minha personalidade que me ferem,moral,baixa
meu companheiro quer decidir com quem posso dividir despesas,patrimonial,baixa
"meu marido me bateu, me humilhou na frente dos sogros e me deixou sem dinheiro para comer",mista,alta
"ele me empurrou uma vez leve, faz comentários ruins e não me deixa ter renda",mista,baixa
meu companheiro me pressiona a ter relações como condição para um bom relacionamento,sexual,media
ele me filmou durante momentos íntimos e ameaça divulgar se eu terminar,sexual,alta
meu companheiro me critica de forma destrutiva na frente dos filhos,moral,media
"ele me bateu uma vez que me assustei, me humilha e controla onde vou",mista,media
"meu marido me deu um empurrão leve, me xinga às vezes e controla onde estou",mista,baixa
ele reclama do jeito que cuido da casa,psicologica,baixa
ele não me deixa usar o cartão do mercado livremente,patrimonial,baixa
ele conta para a vizinhança que sou uma pessoa problemática,moral,media
meu namorado segurou meu pulso quando tentei sair da sala,fisica,baixa
meu companheiro me forçou a enviar fotos íntimas para outras pessoas,sexual,alta
meu companheiro me faz sentir anormal por não querer ter relações sempre que ele quer,sexual,media
meu namorado implica com meu jeito de se vestir,psicologica,baixa
ele me enviou vídeos me ameaçando de morte,psicologica,alta
meu namorado conta segredos meus para amigos comuns,moral,media
"ele me espancou, destruiu minha máquina de costura que era meu sustento e me ameaça",mista,alta
"meu companheiro me bateu, me manteve sem comida por dias e me ameaça jogar minha filha no rio",mista,alta
ele quer saber antes de qualquer compra acima de um valor,patrimonial,baixa
meu marido reclama quando gasto com manutenção do carro que é meu,patrimonial,baixa
"ele me puxou pelo braço uma vez, reclama do que gasto e me diminui às vezes",mista,baixa
ele me puxou pelo braço quando tentei andar para longe,fisica,baixa
ele fica assistindo conteúdo adulto na minha frente sem me pedir,sexual,baixa
"meu marido me espancou na gravidez, me xinga todo dia e ameaça jogar meu bebê fora",mista,alta
"meu marido me espancou, me humilha publicamente e me deixou sem dinheiro para os filhos",mista,alta
meu namorado reclama quando eu gasto dinheiro com coisas pessoais,patrimonial,baixa
ele conta para a família sobre minhas dificuldades sem minha permissão,moral,baixa
ele não me deixa ter nada de valor em meu nome,patrimonial,media
"ele me agride, me isola dos amigos e verifica meu celular todo dia",mista,media
meu marido reclama quando compro algo de marca,patrimonial,baixa
meu namorado me bloqueou a passagem com o corpo com força,fisica,baixa
ele não me dá dinheiro para eu tomar conta dos filhos adequadamente,patrimonial,media
ele me segurou pelo braço quando tentei sair do carro,fisica,baixa
ele disse para minha família que sou alcoólatra,moral,alta
"ele me empurrou levemente, verifica meu celular e faz comentários que me diminuem",mista,baixa
"ele me agrediu fisicamente, me chama de louca e não me deixa ter dinheiro próprio",mista,media
ele me deu um soco na coxa que ficou roxo,fisica,media
"ele me agrediu fisicamente, me humilhou publicamente e me ameaça me deixar sem nada",mista,alta
"ele me puxou leve, me xinga de vez em quando e controla meu celular",mista,baixa
ele pegou o dinheiro que eu tinha guardado para a cirurgia,patrimonial,alta
meu namorado me deu um cutucão no braço várias vezes durante a discussão,fisica,baixa
meu marido me puxou pela mão para que eu não saísse,fisica,baixa
"meu companheiro me estuprou, me bateu e disse que vai me matar se eu contar",mista,alta
meu companheiro me empurrou e eu bati no espelho,fisica,media
"meu companheiro me bateu até sangrar, me xinga de louca e colocou câmera no quarto",mista,alta
ele quebrou minha coleção de objetos com valor sentimental,patrimonial,media
meu marido me controla com quem posso ter contato,psicologica,media
ele fala sobre meus defeitos para outras pessoas sem minha permissão,moral,baixa
ele conta para amigos sobre meus medos de forma que me expõe,moral,baixa
meu marido me jogou pela janela do primeiro andar,fisica,alta
meu companheiro me deu um chute que me deixou caída no chão,fisica,media
ele faz piadas sobre como cuido da casa que me envergonham,moral,baixa
ele diz que se eu contar para alguém vai ser pior para mim,psicologica,media
ele me pressiona a falar sobre assuntos sexuais que me constrangem,sexual,baixa
meu namorado fica irritado quando converso longamente ao telefone,psicologica,baixa
ele me toca de forma inadequada quando estamos com outras pessoas,sexual,baixa
ele destruiu todos os meus pertences ao me expulsar de casa,patrimonial,alta
meu marido me agrediu enquanto eu estava amamentando,fisica,alta
meu companheiro não me dá dinheiro para cuidar da minha saúde,patrimonial,media
ele quebrou meu espelho e alguns eletrodomésticos na briga,patrimonial,media
ele me chama de gorda quando fico de shorts em casa,moral,media
meu marido me obrigou a ter relações como condição para me sustentar,sexual,alta
meu marido me ameaça matar meu irmão se eu contar para ele,psicologica,alta
"meu companheiro me agrediu com um tapa, me proíbe de trabalhar e me humilha",mista,media
meu companheiro vendeu meu carro para pagar sua dívida de jogo,patrimonial,alta
ele me faz sentir que estou errada por ter meus próprios limites sexuais,sexual,baixa
meu marido tentou me enforcar com o fio do carregador,fisica,alta
ele tirou o preservativo sem meu consentimento durante a relação,sexual,alta
meu companheiro me abusou sexualmente enquanto eu estava grávida e com dor,sexual,alta
ele quebrou meu fone de ouvido que eu usava para trabalhar,patrimonial,media
ele me deu um toque forte no ombro para chamar atenção,fisica,baixa
ele me compara com pessoas que ele admira de forma negativa para mim,moral,baixa
"meu marido me empurra, destrói minhas coisas e me xinga diariamente",mista,media
ele gravou nossas relações sem eu saber e ameaça usar contra mim,sexual,alta
meu namorado não gosta quando gasto dinheiro em shows ou eventos,patrimonial,baixa
ele pegou meu cartão de crédito e gastou tudo sem me contar,patrimonial,alta
ele quebrou todos os eletrodomésticos durante a última briga,patrimonial,media
ele usa meu carro sem pedir e não coloca gasolina,patrimonial,media
ele me fez perder minha renda ao me impedir de trabalhar por meses,patrimonial,alta
ele me jogou no sofá com tanta força que eu me machuquei,fisica,media
meu marido não me deixa receber visitas em casa,patrimonial,media
ele me estuprou na noite do casamento mesmo eu pedindo para parar,sexual,alta
meu companheiro me xinga de vagabunda quando discutimos,moral,media
"ele me cutucou no ombro, faz piadinhas sobre peso e controla saídas minhas",mista,baixa
"ele me puxou pelo braço leve, controla meu celular e me xinga quando fica irritado",mista,baixa
ele me fez assinar documentos transferindo bens sem eu entender,patrimonial,alta
ele me forçou a ter relações logo após meu aborto espontâneo,sexual,alta
"ele me agrediu fisicamente, me chama de inútil e me controla financeiramente",mista,media
meu marido me empurrou ao passar na porta ao mesmo tempo,fisica,baixa
meu companheiro me ridiculariza na frente de visitas,moral,media
"ele me bateu, publicou fotos minhas e ameaçou sequestrar minha filha",mista,alta
meu namorado reclama quando uso roupas que ele considera inapropriadas,psicologica,baixa
meu namorado reclama quando gasto com materiais para meu hobby,patrimonial,baixa
ele fala sobre minhas limitações para outras pessoas,moral,baixa
ele me isola da família dizendo que não presto para nada,psicologica,media
"ele me puxou leve, faz comentários negativos e controla quanto posso gastar",mista,baixa
meu marido me pressiona a ter relações como prova de que não estou traindo,sexual,media
meu marido faz comentários que me deixam com dúvidas sobre minha aparência,psicologica,baixa
"meu marido me empurra às vezes, me xinga todo dia e não me deixa sair",mista,media
meu companheiro faz comentários depreciativos sobre minha culinária para visitas,moral,baixa
ele me faz sentir que sou propriedade dele,sexual,media
ele vendeu minha moto que era minha única forma de ir ao trabalho,patrimonial,alta
ele me diz que meus amigos estão me manipulando contra ele,psicologica,media
meu marido me menospreza dizendo que não tenho valor,moral,media
ele me difamou no trabalho dizendo que roubei dinheiro,moral,alta
meu companheiro não me deixa saber quanto ele ganha,patrimonial,media
meu companheiro revisa minha bolsa toda vez que chego,psicologica,media
ele me puxou pela roupa durante a discussão,fisica,baixa
meu marido fica chateado quando não concorda com como gasto meu tempo livre,psicologica,baixa
meu companheiro destruiu toda a minha produção artesanal,patrimonial,alta
meu marido me caluniou profissionalmente e perdi contratos por isso,moral,alta
ele me torceu o pulso para pegar meu celular,fisica,media
meu marido me persegue em todos os lugares e me ameaça,psicologica,alta
ele me xinga com palavrões quando discutimos,moral,media
"meu companheiro me espancou, me tirou todos os documentos e ameaça levar os filhos",mista,alta
"meu marido às vezes me empurra, controla meu celular e faz comentários ruins",mista,baixa
ele me deu uma bordoada que me fez perder os sentidos,fisica,alta
"meu marido me deu empurrão leve, me xinga quando fica irritado e controla onde estou",mista,baixa
meu companheiro me ameaça usar meus filhos como reféns,psicologica,alta
ele jogou um objeto no chão com força para me intimidar,fisica,baixa
"meu marido me agrediu fisicamente, me tirou o emprego com mentiras e me ameaça todo dia",mista,alta
ele me faz sentir culpada por não querer ter relações quando está estressado,sexual,media
ele vendeu meu terreno que era herança dos meus avós,patrimonial,alta
ele me obrigou a fazer algo sexual em troca de não contar algo meu,sexual,alta
meu companheiro exige que eu preste contas de todos os minutos do meu dia,psicologica,media
meu companheiro me bateu com um tijolo na cabeça,fisica,alta
"ele me deu um tapa, me mantém isolada e me humilha constantemente",mista,media
ele usa meu dinheiro sem me pedir e depois diz que eu gerei a dívida,patrimonial,media
meu marido me acusou publicamente de coisas que nunca fiz,moral,alta
ele vendeu o gado que era meu sem me pedir,patrimonial,alta
meu companheiro me violentou sexualmente usando força física,sexual,alta
ele me ameaça todos os dias dizendo que estou marcada para morrer,psicologica,alta
"meu marido me agrediu, me trancou por dias sem comida e ameaçou matar minha mãe",mista,alta
meu namorado reclama quando gasto com atividades culturais,patrimonial,baixa
ele disse que vai me encontrar onde quer que eu vá e me machucar,psicologica,alta
meu companheiro me deu um soco no braço durante a briga,fisica,media
meu marido me abusou sexualmente múltiplas vezes na mesma noite,sexual,alta
meu marido me segurou para que eu não saísse durante a discussão,fisica,baixa
ele me diminui comparando com amigas e parentes,moral,media
"meu companheiro me deu uma bofetada, me humilha na frente dos outros e me isola",mista,media
"meu companheiro me puxou leve, faz comentários ruins sobre mim e controla onde vou",mista,baixa
ele comenta sobre meu peso de forma que me deixa insegura,moral,baixa
ele fica com ciúme quando tenho realizações profissionais,psicologica,baixa
meu companheiro vendeu minha casa sem minha permissão,patrimonial,alta
meu marido me deu um empurrão leve na discussão de ontem,fisica,baixa
meu companheiro me forçou a ter relações quando eu estava dormindo,sexual,alta
meu namorado quer participar de todas as decisões de compra,patrimonial,baixa
"meu namorado me segurou de leve, faz comentários negativos e controla saídas",mista,baixa
ele me diz que sou sortuda por ter um homem como ele,psicologica,media
meu companheiro me fez perder o emprego ao me ligar no trabalho toda hora,patrimonial,alta
meu namorado faz comentários sobre minha roupa de forma sexualizada,sexual,baixa
ele me caluniou para toda a turma dos pais da escola,moral,alta
"ele me espancou na frente dos filhos, destruiu meus pertences e me ameaça com arma",mista,alta
ele compartilhou informações falsas sobre mim que chegaram ao meu emprego,moral,alta
meu companheiro me bateu quando chegou bêbado,fisica,media
"meu companheiro me agrediu fisicamente, me xinga de inútil e controla meus gastos",mista,media
ele usou meu corpo enquanto eu dormia sem meu consentimento,sexual,alta
ele não me deixa comprar roupas novas dizendo que é desperdício,patrimonial,baixa
meu marido não me deixa fazer compras para a casa sozinha,patrimonial,media
meu namorado fica com ciúme quando recebo mensagens de amigos,psicologica,baixa
ele me arrastou pelo asfalto presa ao carro,fisica,alta
ele disse que vai queimar meu carro se eu terminar o relacionamento,psicologica,alta
"ele me empurrou, me xinga de burra e controla todo o dinheiro da casa",mista,media
meu marido me cutucou com o dedo no peito durante a discussão,fisica,baixa
ele me enviou fotos de outros para me forçar a ter relações,sexual,alta
"ele me proíbe de ver minha família, me xinga e às vezes me agride",mista,media
"ele me espancou, destruiu todos meus bens e ameaça me matar em frente aos meus filhos",mista,alta
ele reclama quando compro algo de segunda mão mesmo sendo mais barato,patrimonial,baixa
meu namorado me puxou pelo pulso quando tentei sair,fisica,baixa
meu marido não me deixa guardar dinheiro,patrimonial,media
meu companheiro me deu uma bofetada tão forte que perdi a visão por alguns minutos,fisica,alta
meu companheiro me ameaça publicar vídeos íntimos se eu terminar,sexual,alta
meu marido instalou um aplicativo de espionagem no meu celular,psicologica,alta
meu companheiro destruiu minha mercadoria que eu ia vender na feira,patrimonial,alta
ele não me deixa usar meu dinheiro livremente para gastar com filhos,patrimonial,baixa
meu companheiro pegou meu dinheiro guardado e gastou tudo,patrimonial,alta
ele forjou minha assinatura para vender nosso imóvel,patrimonial,alta
"meu namorado me segurou leve, não me deixa ter amigos e me xinga às vezes",mista,baixa
meu namorado conta histórias que me expõem sem minha autorização,moral,baixa
"meu companheiro me agrediu fisicamente e sexualmente, me mantém sem dinheiro e me ameaça",mista,alta
meu marido postou fotos minhas sem roupa nas redes sociais para me humilhar,moral,alta
ele me xinga com apelidos ofensivos que me ferem,moral,media
meu namorado me xinga quando discorda de mim,moral,media
meu companheiro vendeu todos os móveis enquanto eu estava no hospital,patrimonial,alta
"meu companheiro me puxou pelo ombro leve, me critica bastante e controla saídas",mista,baixa
meu companheiro me pressiona a ter relações após discussões sérias,sexual,media
meu marido me jogou contra a janela e ela quebrou,fisica,alta
meu marido me obrigou a ter relações mesmo eu estando doente,sexual,alta
ele me faz sentir que sou responsável pelo seu humor por causa de sexo,sexual,baixa
meu companheiro quer controlar como eu gasto meu próprio salário,patrimonial,baixa
meu marido reclama quando gasto com transporte por aplicativo,patrimonial,baixa
ele me compara com a irmã dele de forma que me faz sentir inferior,moral,baixa
meu marido me caluniou para todos os amigos que tínhamos em comum,moral,alta
meu companheiro me acusou publicamente de coisas que me destruíram profissionalmente,moral,alta
ele me puxou o cabelo quando tentei pegar o celular,fisica,media
ele me deu um tapa cada vez que eu tentava falar,fisica,media
ele me deu um soco no ombro que ficou com hematoma,fisica,media
ele divulgou prints de conversas fora de contexto para me fazer passar por má pessoa,moral,alta
"meu companheiro me bateu, quebrou objetos meus e me mantém sem acesso ao dinheiro",mista,media
ele me segurou pela camisa para que eu não saísse,fisica,baixa
meu companheiro inventou que abandonei os filhos para ficar com homem,moral,alta
"meu namorado me segurou pelo pulso de leve, faz comentários negativos e controla saídas",mista,baixa
meu marido me segurou pelo punho quando tentei pegar meu celular,fisica,baixa
ele me jogou no chão durante uma briga,fisica,media
ele me forçou a ter relações me ameaçando de divulgar segredos meus,sexual,alta
ele me caluniou para toda a família de forma que ninguém mais me fala,moral,alta
ele postou vídeo me humilhando nas redes sociais sem minha permissão,moral,alta
meu namorado me critica pela forma como cuido de mim mesma na frente de outros,moral,baixa
meu companheiro me humilha dizendo que nunca deveria ter me casado com ele,moral,media
